Name,Email,Teams,SMU ID,Pitch Name,Citizenship,Use of funds,Skills,User Role
new Participant,newp@email.com,,01020304,Food Festival,USA,$100 for buying food,,Participant
Judge2,judge2@email.com,,,,,N.A.,,Judge
Participant,participant@email.com,,1122334455,Name for Pitch,Korean,$100 buy text books,,Participant
Judge,judge@email.com,,,,,N.A.,,Judge
asadsgd,sahil90.oceanww@gmail.com,,,,,,,Participant
asadsgd,sahil90.ocean@gmail.com,,,,,,,Participant
asadsgd,mydemwqrq454594r8s9o@gmail.com,,,,,,,Participant
asadsgd,mydemwqrq454594sfdgdrs89o@gmail.com,,,,,,,Participant
asadsgd,mydemwqrq454594srs89o@gmail.com,,,,,,,Participant
asadsgd,mydemwqrq454594sr89o@gmail.com,,,,,,,Judge
asadsgd,mydemwqrq454594r89o@gmail.com,,,,,,,Participant
asadsgd,mydemwqrq45459489o@gmail.com,,,,,,,Participant
jay,jay@gmail.com,,123456789,,,"""""",,Judge
dwdw,amit.saini.net22dev@gmail.com,,32322111,frefr,rgrg,"{""value"":""2"",""label"":""Undergraduate and not employed with UCI""}",,Participant
ththss,wwamitww.saini.netdev@gmail.com,,32322111,,,"""""",,Judge
axax,amit.saini.netdev111@gmail.com,,32322111,,,"""""",,Judge
dw,amit.saini.wwnetdev@gmail.com,,32322111,212,121212,"{""value"":""2"",""label"":""Undergraduate and not employed with UCI""}",,Participant
dwdw,amit.saini.netwwwdev@gmail.comw,,32322111,wdwdwd,dwd,"{""value"":""1"",""label"":""Undergraduate and employed with UCI""}",,Participant
asa,mydemwqrq4545986sfdg89o@gmail.com,,,,,,,Participant
cece,eeeamit.saini.netdev@gmail.com,,221212121212121,121221,1212,"{""value"":""2"",""label"":""Undergraduate and not employed with UCI""}",,Participant
asa,mydemwqrq454598689o@gmail.com,,,,,,,Participant
asa,mydemwqrq45459889o@gmail.com,,,,,,,Participant
csdc,amit.saini.nddfdfetdev@gmail.com,,3434344,43434,43434,"{""value"":""2"",""label"":""Undergraduate and not employed with UCI""}",,Participant
as784a,mydemwqrq4545748989o@gmail.com,,78375689502,,,,,Judge
as78a,mydemwqrq454578989o@gmail.com,,,,,,,Judge
qwerty,websitetest512224@gmail.com,,,,,,,Judge
scscsc,websitetest54222@gmail.com,,,,,,,Participant
vvvv,websitetest54@gmail.com,,,,,,,Participant
Viru,viru@gmail.com,,,,,,,Participant
scscsc,scscscsc@ffe.com,,,,,,,Judge
asa,mydemwqrq4545989o@gmail.com,,,,,,,Participant
asa,mydem45989o@gmail.com,,,,,,,Participant
dwqdqwdq,wqdqwd@kdbj.com,,,,,,,Participant
qwqee,edwedwe@dd.com,ok crear¨¦ esto,,,,,,Judge
ram laal,ramu@gmail.com,"this is new team,x,asfdfa,como estas,xyz,como,eso no es tarifa,This is new team for judge Assign,A,viniz,soy bueno",,,,,,Judge
judge no1,qwerty123@gmail.com,,,,,,,Judge
customer3 test2,test123@gmail.com,,,,,,,Judge
customer3 test2,tesadadadt@gmail.com,,,,,,,Judge
customer3 test2,tessdsdsdt@gmail.com,fefefef,,,,,,Judge
customer3 test2,test111@gmail.com,,,,,,,Judge
asa,mydem459o@gmail.com,,,,,,,Participant
asa,mydem45o@gmail.com,,,,,,,Judge
asa,mydemo@gmail.com,,,,,,,Participant
customer3 test2``111,qwerty@gmail.com,,,,,,,Participant
newCust11 test211,tes23dededt@gmail.com,,,,,,,Participant
rrrrrrrrr,11111frfrfrf@gmail.com,,,,,,,Participant
customer3 test2,test@gmail.com,,,,,,,Participant
sahil angrish,sahil@test.com,,,,,,,Participant
raveean45,raveena45.panjeta@toxsl.com,,,,,,,Participant
last,last@gmail.com,viniz,,,,,,Participant
amit,amit@gmail.com,viniz,,,,,,Participant
avneet,avneet@gmail.com,"como,viniz,abc",,,,,,Participant
raveena1,raveena@gmail.com,"viniz,abc",,,,,,Participant
rohan,rohan@hotmail.com,"ok crear¨¦ esto,this is new team,x,WE,costo estas,zyx,asfdfa,como estas,xyz,como,eso no es tarifa,a,fefefef,hello,A,viniz,soy bueno",,,,,,Participant
vineej,vineejc2@gmail.com,,,,,,,Participant
vineej chauhan,vineejc1@gmail.com,abc,,,,,,Participant
gabbar singh,lallan@hotmail.com,"ok crear¨¦ esto,WE,zyx,como estas,dummy team,como,grgrg,fefefef,hello,This is new team for judge Assign,viniz,soy bueno",,,,,,Participant
